N;Country/Region;ISOCode;Zone Region 1;Zone Region 2;Zone
1;Afghanistan;AFG;Southern Asia;;Asia
2;Åland Islands;ALA;Northern Europe;;Europe
3;Albania;ALB;Southern Europe;;Europe
4;Algeria;DZA;Northern Africa;;Africa
5;American Samoa;ASM;Polynesia;;Oceania
6;Andorra;AND;Southern Europe;;Europe
7;Angola;AGO;Middle Africa;Sub-Saharan Africa;Africa
8;Anguilla;AIA;Caribbean;Latin America and the Caribbean;North America
9;Antarctica;ATA;Antarctica;;Antarctica
10;Antigua and Barbuda;ATG;Caribbean;Latin America and the Caribbean;North America
11;Argentina;ARG;South America;Latin America and the Caribbean;South America
12;Armenia;ARM;Western Asia;;Asia
13;Aruba;ABW;Caribbean;Latin America and the Caribbean;North America
14;Australia;AUS;Australia and New Zealand;;Oceania
15;Austria;AUT;Western Europe;;Europe
16;Azerbaijan;AZE;Western Asia;;Asia
17;Bahamas;BHS;Caribbean;Latin America and the Caribbean;North America
18;Bahrain;BHR;Western Asia;;Asia
19;Bangladesh;BGD;Southern Asia;;Asia
20;Barbados;BRB;Caribbean;Latin America and the Caribbean;North America
21;Belarus;BLR;Eastern Europe;;Europe
22;Belgium;BEL;Western Europe;;Europe
23;Belize;BLZ;Central America;Latin America and the Caribbean;North America
24;Benin;BEN;Western Africa;Sub-Saharan Africa;Africa
25;Bermuda;BMU;Northern America;;North America
26;Bhutan;BTN;Southern Asia;;Asia
27;Bolivia;BOL;South America;Latin America and the Caribbean;South America
28;Bonaire, Sint Eustatius and Saba;BES;Caribbean;Latin America and the Caribbean;North America
29;Bosnia and Herzegovina;BIH;Southern Europe;;Europe
30;Botswana;BWA;Southern Africa;Sub-Saharan Africa;Africa
31;Bouvet Island;BVT;South America;Latin America and the Caribbean;South America
32;Brazil;BRA;South America;Latin America and the Caribbean;South America
33;British Indian Ocean Territory;IOT;Eastern Africa;Sub-Saharan Africa;Africa
34;British Virgin Islands;VGB;Caribbean;Latin America and the Caribbean;North America
35;Brunei;BRN;South-eastern Asia;;Asia
36;Bulgaria;BGR;Eastern Europe;;Europe
37;Burkina Faso;BFA;Western Africa;Sub-Saharan Africa;Africa
38;Burundi;BDI;Eastern Africa;Sub-Saharan Africa;Africa
39;Cabo Verde;CPV;Western Africa;Sub-Saharan Africa;Africa
40;Cambodia;KHM;South-eastern Asia;;Asia
41;Cameroon;CMR;Middle Africa;Sub-Saharan Africa;Africa
42;Canada;CAN;Northern America;;North America
43;Cayman Islands;CYM;Caribbean;Latin America and the Caribbean;North America
44;Central African Republic;CAF;Middle Africa;Sub-Saharan Africa;Africa
45;Chad;TCD;Middle Africa;Sub-Saharan Africa;Africa
46;Chile;CHL;South America;Latin America and the Caribbean;South America
47;China;CHN;Eastern Asia;;Asia
48;China, Hong Kong Special Administrative Region;HKG;Eastern Asia;;Asia
49;China, Macao Special Administrative Region;MAC;Eastern Asia;;Asia
50;Christmas Island;CXR;Australia and New Zealand;;Oceania
51;Cocos (Keeling) Islands;CCK;Australia and New Zealand;;Oceania
52;Colombia;COL;South America;Latin America and the Caribbean;South America
53;Comoros;COM;Eastern Africa;Sub-Saharan Africa;Africa
54;Congo;COG;Middle Africa;Sub-Saharan Africa;Africa
55;Cook Islands;COK;Polynesia;;Oceania
56;Costa Rica;CRI;Central America;Latin America and the Caribbean;North America
